epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,759.03,0.56916,0.92554,0.92627,0.97862,0.771,0.90664,0.77042,0.6691,1.50084,1.01413,0.00043325,0.00043325,0.00043325
68,770.382,0.51347,0.81574,0.89519,0.95334,0.81774,0.9171,0.77191,0.65055,1.40886,0.99861,0.000420875,0.000420875,0.000420875
69,781.976,0.53107,0.81324,0.96578,0.95334,0.81774,0.9171,0.77191,0.65055,1.40886,0.99861,0.0004085,0.0004085,0.0004085
70,793.575,0.50884,0.77888,0.92222,0.97027,0.83544,0.92261,0.78122,0.65256,1.35554,0.99305,0.000396125,0.000396125,0.000396125
71,804.808,0.56652,0.92722,0.9492,0.97027,0.83544,0.92261,0.78122,0.65256,1.35554,0.99305,0.00038375,0.00038375,0.00038375
72,815.996,0.57945,0.82678,0.94954,0.97449,0.84423,0.91799,0.78334,0.64876,1.32105,0.9901,0.000371375,0.000371375,0.000371375
73,827.342,0.59951,0.81475,0.99432,0.97449,0.84423,0.91799,0.78334,0.64876,1.32105,0.9901,0.000359,0.000359,0.000359
74,838.677,0.51733,0.85495,0.91148,0.95268,0.87639,0.91709,0.77783,0.64319,1.28163,0.98194,0.000346625,0.000346625,0.000346625
75,850.785,0.52065,1.27835,0.96658,0.95268,0.87639,0.91709,0.77783,0.64319,1.28163,0.98194,0.00033425,0.00033425,0.00033425
76,862.575,0.50196,0.74442,0.89316,0.95166,0.87744,0.92036,0.77827,0.64149,1.2887,0.97898,0.000321875,0.000321875,0.000321875
77,874.134,0.54392,0.75712,0.94099,0.95166,0.87744,0.92036,0.77827,0.64149,1.2887,0.97898,0.0003095,0.0003095,0.0003095
78,885.467,0.55114,0.91785,0.98247,0.93315,0.87758,0.92069,0.78302,0.63847,1.31636,0.98171,0.000297125,0.000297125,0.000297125
79,896.607,0.52612,0.83778,0.94401,0.93315,0.87758,0.92069,0.78302,0.63847,1.31636,0.98171,0.00028475,0.00028475,0.00028475
80,907.945,0.5251,0.81905,0.94882,0.90022,0.87955,0.92834,0.79645,0.63326,1.31641,0.97933,0.000272375,0.000272375,0.000272375
81,919.637,0.52582,0.76251,0.95067,0.90022,0.87955,0.92834,0.79645,0.63326,1.31641,0.97933,0.00026,0.00026,0.00026
82,931.227,0.48678,0.7247,0.88589,0.91195,0.87955,0.91583,0.78851,0.63207,1.31857,0.97686,0.000247625,0.000247625,0.000247625
83,942.661,0.54066,0.88354,0.94381,0.91195,0.87955,0.91583,0.78851,0.63207,1.31857,0.97686,0.00023525,0.00023525,0.00023525
84,953.949,0.58273,0.90436,0.95727,0.93828,0.88092,0.91577,0.77495,0.6179,1.30223,0.96825,0.000222875,0.000222875,0.000222875
85,965.26,0.51346,0.77643,0.92271,0.93828,0.88092,0.91577,0.77495,0.6179,1.30223,0.96825,0.0002105,0.0002105,0.0002105
86,976.727,0.48889,0.76541,0.88269,0.9306,0.91184,0.94183,0.77616,0.606,1.25699,0.95081,0.000198125,0.000198125,0.000198125
87,988.28,0.47349,0.77842,0.91353,0.9306,0.91184,0.94183,0.77616,0.606,1.25699,0.95081,0.00018575,0.00018575,0.00018575
88,999.765,0.49309,0.76872,0.92649,0.9501,0.89125,0.94252,0.78039,0.60195,1.22411,0.93757,0.000173375,0.000173375,0.000173375
89,1010.83,0.45726,0.7197,0.91359,0.9501,0.89125,0.94252,0.78039,0.60195,1.22411,0.93757,0.000161,0.000161,0.000161
90,1021.98,0.48526,0.80522,0.96501,0.94998,0.8909,0.94365,0.78793,0.60371,1.21148,0.93162,0.000148625,0.000148625,0.000148625
91,1033.42,0.35363,0.78014,0.81332,0.94998,0.8909,0.94365,0.78793,0.60371,1.21148,0.93162,0.00013625,0.00013625,0.00013625
92,1045.64,0.38071,0.82049,0.81026,0.94587,0.89777,0.9458,0.78887,0.59212,1.19374,0.91614,0.000123875,0.000123875,0.000123875
93,1057.09,0.36321,0.77158,0.84782,0.94587,0.89777,0.9458,0.78887,0.59212,1.19374,0.91614,0.0001115,0.0001115,0.0001115
94,1068.31,0.35749,0.79941,0.84167,0.94417,0.89896,0.94616,0.79884,0.57512,1.17538,0.90118,9.9125e-05,9.9125e-05,9.9125e-05
95,1079.4,0.31807,0.80798,0.84529,0.94417,0.89896,0.94616,0.79884,0.57512,1.17538,0.90118,8.675e-05,8.675e-05,8.675e-05
96,1090.54,0.33387,0.8491,0.81992,0.94548,0.89789,0.94649,0.79901,0.56995,1.17063,0.89741,7.4375e-05,7.4375e-05,7.4375e-05
97,1101.89,0.33906,0.74614,0.80934,0.94548,0.89789,0.94649,0.79901,0.56995,1.17063,0.89741,6.2e-05,6.2e-05,6.2e-05
98,1113.4,0.35278,0.80786,0.88005,0.94556,0.89745,0.94647,0.793,0.56309,1.16813,0.89334,4.9625e-05,4.9625e-05,4.9625e-05
99,1125.06,0.30007,0.70968,0.81159,0.94556,0.89745,0.94647,0.793,0.56309,1.16813,0.89334,3.725e-05,3.725e-05,3.725e-05
100,1136.3,0.32285,0.75966,0.81085,0.94598,0.89683,0.94689,0.79777,0.56257,1.16059,0.89237,2.4875e-05,2.4875e-05,2.4875e-05
